id;item;path;name;date;;;;
7458;schwurbelarchiv-8ObWoD5mhd;;Freiheitsboten_Hanau;16112021;;;;
7462;schwurbelarchiv-GNOOgoqJeR;;Freiheitsboten_Heilbronn;15112021;;;;
7465;schwurbelarchiv-YhmAHco8Na;;Freiheitsboten Hegau;15112021;;;;
7476;schwurbelarchiv-6EyAUmr8t9;;Freiheitsboten_Duisburg;19112021;;;;Gruppe
7478;schwurbelarchiv-GkRhh8KoI5;;STRALSUND STEHT AUF;16112021;;;;
7482;schwurbelarchiv-NhTL5YrpUd;;Freiheitsboten Oldesloe;16112021;;;;
7492;schwurbelarchiv-nHfXYJs2W2;;Freiheitsboten Mittelsachsen;19112021;;;;
7538;schwurbelarchiv-4lNbfGoFCw;;!!!München STEHT AUF!!!;25112021;;;;
7679;schwurbelarchiv-MK6mRFsuvC;;Freiheitsboten Schutterwald;3122021;;;;
7688;schwurbelarchiv-Zbc8awf3gm;;Freiheitsboten_Hochtaunuskreis;3122021;;;;
7777;schwurbelarchiv-VFq6wJ6uon;;Freiheitsboten Königs Wusterhausen;7122021;;;;
7816;schwurbelarchiv-D4XndWczUU;;🏞 Muldental steht auf! Wurzen - Grimma - Colditz - Brandis - Naunhof - Trebsen - Bad Lausick - Machern - Mutzschen - Nerchau;10122021;;;;
7845;schwurbelarchiv-i8h0r5BxeE;;🏞 Muldental steht auf! Wurzen - Grimma - Colditz Diskussion;10122021;;;;
